name,address,categories,phone_number,website,rating,owner,url
Oakland Ave Auto Detailing,"2400 Telegraph Ave, Oakland, CA 94612","Auto Detailing, Car Wash",(510) 555-0111,https://oaklandavedetailing.com,4.5,Curtis Nakamura,https://www.yelp.com/biz/oakland-ave-auto-detailing
Lake Merritt Bakehouse,"1801 Lakeshore Ave, Oakland, CA 94606","Bakeries, Cafes",(510) 555-0124,,4.0,,https://www.yelp.com/biz/lake-merritt-bakehouse
Temescal Family Dental,"4900 Telegraph Ave, Oakland, CA 94609","Dentists, Orthodontists",(510) 555-0138,https://temescalfamilydental.com,3.5,Dr. Helena Voss,https://www.yelp.com/biz/temescal-family-dental
Rockridge Roofing,"5400 College Ave, Oakland, CA 94618",Roofing,(510) 555-0111,https://rockridgeroofing.com,4.0,Curtis Nakamura,https://www.yelp.com/biz/rockridge-roofing
Jack London Print Shop,"55 Webster St, Oakland, CA 94607","Printing Services, Graphic Design",,https://jacklondonprint.com,4.5,Nia Ferrell,https://www.yelp.com/biz/jack-london-print-shop
Fruitvale Tire Center,"3200 International Blvd, Oakland, CA 94601","Tires, Auto Repair",(510) 555-0146,,4.0,,https://www.yelp.com/biz/fruitvale-tire-center
Piedmont Ave Florist,"4100 Piedmont Ave, Oakland, CA 94611",Florists,(510) 555-0159,https://piedmontaveflorist.com,5.0,Grace Lindholm,https://www.yelp.com/biz/piedmont-ave-florist
Grand Lake Pet Clinic,"3300 Grand Ave, Oakland, CA 94610","Veterinarians, Pet Services",N/A,https://grandlakepetclinic.com,4.5,,https://www.yelp.com/biz/grand-lake-pet-clinic
Uptown HVAC Solutions,"1900 Broadway, Oakland, CA 94612","Heating & Air Conditioning",(510) 555-0163,https://uptownhvac.com,3.5,Ramon Estrada,https://www.yelp.com/biz/uptown-hvac-solutions
Montclair Landscaping,"2050 Mountain Blvd, Oakland, CA 94611","Landscaping, Tree Services",(510) 555-0177,,4.5,Beatriz Sandoval,https://www.yelp.com/biz/montclair-landscaping
